the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E6100000B8585183A9E362406C3EAE0D15F140C0,2132,24217,Croydon Newsagency, ,3 The Strand,Croydon,NSW,49,"3 The Strand, Croydon NSW 2132",02 9747 5492,-33.883455,151.1144425,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24217
0101000020E6100000F5D901D795DD6240E92ADD5D67ED40C0,2164,24528,TSG Smithfield, ,62 Dublin St,Smithfield,NSW,162,"62 Dublin St, Smithfield NSW 2164",02 9757 2344,-33.854717,150.924541,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24528
0101000020E61000007A56D28AEFE062403F52448655F440C0,2199,26553,BP Yagoona, ,405 Hume Hwy,Yagoona,NSW,392,"405 Hume Hwy, Yagoona NSW 2199",02 8764 4574,-33.90886,151.029241,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,26553
0101000020E6100000265646239FED62403F70952710A440C0,2259,29760,Wyong Newsagency, ,3/142 Pacific Hwy,Wyong,NSW,523,"3/142 Pacific Hwy, Wyong NSW 2259",02 4353 1021,-33.281743,151.425676,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,29760
0101000020E6100000D4D4B2B5BEE06240B8567BD80BF140C0,2143,30546,Park Rd Newsagency, ,407 Park Rd,Regents Park,NSW,660,"407 Park Rd, Regents Park NSW 2143",02 9738 8707,-33.883174,151.02328,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,30546
0101000020E61000002DFBBF3496E262407CC9101148FC40C0,2223,32456,Cignall Mortdale, ,2A Morts Rd,Mortdale,NSW,771,"2A Morts Rd, Mortdale NSW 2223",02 9579 5923,-33.9709493,151.0808357,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,32456
0101000020E6100000DC3D8A8440E76240053EF5FEF5F540C0,2032,35447,Ausker Supermarket, ,293 Anzac Pde,Kingsford,NSW,1316,"293 Anzac Pde, Kingsford NSW 2032",02 9313 8028,-33.9215697,151.2266257,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,35447
0101000020E610000029C6010D29E76240BCCCB051D6EF40C0,2011,35574,Quick & Easy Convenience Store,,40A Darlinghurst Rd,Potts Point,NSW,1343,"40A Darlinghurst Rd, Potts Point NSW 2011",02 9332 4209,-33.873728,151.223761085,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,35574
0101000020E61000006AD95A5FA4E86240ECFA05BB61EF40C0,2029,100736,IGA Rose Bay, ,1-5 Dover Rd,Rose Bay,NSW,1953,"1-5 Dover Rd, Rose Bay NSW 2029",02 9953 2996,-33.87017,151.270065,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,34758
0101000020E6100000D4B14AE919E362402DB308C556DC40C0,2076,24228,Normanhurst Newsagency, ,46 Denman Pde,Normanhurst,NSW,58,"46 Denman Pde, Normanhurst NSW 2076",02 9489 5066,-33.721398,151.096913,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24228
0101000020E6100000DD4598A25CDF6240CB10C7BAB8E740C0,2145,24310,Y & E Mixed Business, ,82 Bridge Rd,Westmead,NSW,87,"82 Bridge Rd, Westmead NSW 2145",02 9613 0844,-33.810325,150.980058,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24310
0101000020E61000001AE1ED4108E36240FE2955A2ECE740C0,2114,26763,BP Victoria Rd, ,898-902 Victoria Rd,West Ryde,NSW,430,"898-902 Victoria Rd, West Ryde NSW 2114",02 9809 7977,-33.811909,151.094758,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,26763
0101000020E61000000A4EEF75B1DB624009E93D562F0540C0,2337,32604,BP Scone,,19-30 Kelly St,Scone,NSW,777,"19-30 Kelly St, Scone NSW 2337",02 6545 1373,-32.040507107,150.865412681,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,32604
0101000020E610000049191D026AE36240DAC7C3A80FF640C0,2194,33692,BP Campsie,,65 Bexley Rd ,Campsie,NSW,909,"65 Bexley Rd , Campsie NSW 2194",02 9787 1801,-33.922352882,151.106690461,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,33692
0101000020E61000007168B5B364B36240D293D17F91B540C0,2795,40553,7-Eleven Kelso,,64-68 Sydney Rd,Kelso,NSW,1639,"64-68 Sydney Rd, Kelso NSW 2795",,-33.418502786,149.606042723,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,40553
0101000020E610000067A8F9467EE562404C741C9313F340C0,2042,100727,IGA Everyday Enmore, ,191-193 Enmore Rd,Enmore,NSW,1951,"191-193 Enmore Rd, Enmore NSW 2042",02 9557 4104,-33.899034871,151.171664703,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24453
0101000020E6100000C359A75011DF6240B1C874BDB4EE40C0,2161,216120,Yennora Station, ,Railway St,Yennora,NSW,2203,"Railway St, Yennora NSW 2161",02 9848 9414,-33.864890749,150.970863654,true,TOPUP,Opal card top up or buy Opal single trip tickets. Contact outlet for accessibility.,
0101000020E610000013FE3AA741E46240EC0C653E26FB40C0,2217,2217,Woolworths Kogarah,Kogarah Town Centre,Railway Pde,Kogarah,NSW,1,"Kogarah Town Centre, Railway Pde, Kogarah NSW 2217",02 8565 9272,-33.962104606,151.133014312,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,2217
0101000020E61000009C638A8315E962407CBA573976E640C0,2095,20951,Manly Ferry Wharf, ,East Esplanade,Manly,NSW,2,"East Esplanade, Manly NSW 2095", ,-33.80048291,151.2838762,true,TOPUP,Opal card top up or buy Opal single trip tickets. Contact outlet for accessibility.,
0101000020E610000009C03FA58AE662402720DC5328F140C0,2000,23480,Henry Deane Plaza Newsagency, ,12-18 Lee St,Haymarket,NSW,3,"12-18 Lee St, Haymarket NSW 2000",02 9211 7797,-33.8840432,151.2044245,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,23480
0101000020E610000013B70A62A0E76240885C70067FEF40C0,2027,23869,The Village Store, ,2 Mitchell Rd,Darling Point,NSW,4,"2 Mitchell Rd, Darling Point NSW 2027",02 9328 7237,-33.871064,151.238328,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,23869
0101000020E6100000F5E0496690E76240DD8321BC87F040C0,2027,23897,Edgecliff Railway Bookstore, ,235 New South Head Rd,Edgecliff,NSW,5,"235 New South Head Rd, Edgecliff NSW 2027",02 9328 0668,-33.8791423,151.2363769,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,23897
0101000020E6100000B87CEC7ABEE6624014E4955B82EE40C0,2000,24073,Bridgeport Convenience Store,,38-42 Bridge St,Sydney,NSW,6,"38-42 Bridge St, Sydney NSW 2000",02 9247 8736,-33.863353203,151.210751974,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24073
0101000020E610000035F7466323E762408DADB195E1EF40C0,2011,24076,EzyMart Kings Cross, ,87 Darlinghurst Rd,Potts Point,NSW,7,"87 Darlinghurst Rd, Potts Point NSW 2011",02 8354 1055,-33.8740718,151.2230698,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24076
0101000020E6100000501A6A1492E662408FDFDBF467EF40C0,2000,24088,City Express Convenience, ,225 Clarence St,Sydney,NSW,8,"225 Clarence St, Sydney NSW 2000",02 9099 9014,-33.87036,151.205332,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24088
0101000020E61000004BE7C3B384E5624013D4F02DACED40C0,2041,24091,Elliott Street Newsagency, ,491 Darling St,Balmain,NSW,9,"491 Darling St, Balmain NSW 2041",02 9810 2280,-33.856817,151.172449,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24091
0101000020E61000000370FD058CE6624099B1B2C755EF40C0,2000,24092,Smartbuy Convenience Store, ,379 Kent St,Sydney,NSW,10,"379 Kent St, Sydney NSW 2000",02 8084 5883,-33.8698053,151.2045927,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24092
0101000020E6100000F2B803D0C3E6624028B2D6506AEC40C0,2061,24093,Alfred Convenience Store, ,52 Alfred St,Milsons Point,NSW,11,"52 Alfred St, Milsons Point NSW 2061",02 8920 0966,-33.8469945,151.2114029,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24093
0101000020E610000046B23A7E77E6624056944573FAEE40C0,2000,24097,Harbour View Convenience, ,24-26 Erskine St,Sydney,NSW,12,"24-26 Erskine St, Sydney NSW 2000",02 9299 9365,-33.867018136,151.202086558,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24097
0101000020E6100000DB0B16981FE36240D29BF639E3D940C0,2077,24098,Coronation Newsagency, ,16 Coronation St,Hornsby,NSW,13,"16 Coronation St, Hornsby NSW 2077",02 9477 1696,-33.7022469,151.0976067,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24098
0101000020E610000066D10BDC99E66240E52C2615D1EE40C0,2000,24100,Nu S Mart,Wynyard Station Stand C,Carrington St,Wynyard,NSW,14,"Wynyard Station Stand C, Carrington St, Wynyard NSW 2000",02 9279 0330,-33.865755695,151.206281684,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24100
0101000020E610000061DEE34C93E662402618CE35CCEE40C0,2000,24100,Nu S Mart Newsagency,Wynyard Station,Carrington St,Sydney,NSW,15,"Wynyard Station, Carrington St, Sydney NSW 2000",02 9279 0330,-33.865607,151.205481,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24100
0101000020E61000001E90DF362EE562405B762DC665DD40C0,2075,24101,St Ives Newsagency, ,219B Mona Vale Rd,St Ives,NSW,16,"219B Mona Vale Rd, St Ives NSW 2075",02 9988 0455,-33.7296684,151.1618914,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24101
0101000020E610000058F2C2E7D8E662406B96708D74F040C0,2010,24102,King of the Pack Darlinghurst, ,63 Oxford St,Surry Hills,NSW,17,"63 Oxford St, Surry Hills NSW 2010",02 9283 1347,-33.8785569,151.2139777,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24102
0101000020E6100000A00830CCBCE86240F81CBDB976F240C0,2026,24107,EzyMart Bondi Beach,,22 Campbell Pde,Bondi Beach,NSW,18,"22 Campbell Pde, Bondi Beach NSW 2026",02 9518 5633,-33.894248216,151.273046583,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24107
0101000020E610000029C3E6534FE0624096F0680950E840C0,2150,24114,Eels Newsagents & Mixed Business,,180 George St,Parramatta,NSW,19,"180 George St, Parramatta NSW 2150",02 9635 8724,-33.814942528,151.009683562,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,24114
