mode,date,tap,time,count
bus,20160808,on,02:30,162
bus,20160808,on,13:30,11365
bus,20160808,on,15:15,28931
bus,20160808,on,12:45,10559
bus,20160808,on,00:00,347
bus,20160808,on,16:30,17871
bus,20160808,on,04:45,716
bus,20160808,on,03:45,126
bus,20160808,on,19:45,4935
bus,20160808,on,01:30,190
bus,20160808,on,07:15,23912
bus,20160808,on,09:00,15895
bus,20160808,on,18:45,10528
bus,20160808,on,11:30,10242
bus,20160808,on,20:15,3980
bus,20160808,on,00:15,286
bus,20160808,on,13:00,11657
bus,20160808,on,02:45,85
bus,20160808,on,23:30,568
bus,20160808,on,17:45,20609
bus,20160808,on,10:45,10084
bus,20160808,on,05:15,1963
bus,20160808,on,20:00,4648
bus,20160808,on,12:30,11016
bus,20160808,on,07:00,17167
bus,20160808,on,14:15,12474
bus,20160808,on,08:45,19414
bus,20160808,on,23:45,450
bus,20160808,on,-1,143
bus,20160808,on,13:15,11540
bus,20160808,on,11:45,9792
bus,20160808,on,22:45,1259
bus,20160808,on,05:00,1154
bus,20160808,on,16:15,17931
bus,20160808,on,01:15,114
bus,20160808,on,14:00,12437
bus,20160808,on,21:15,3056
bus,20160808,on,07:30,31439
bus,20160808,on,06:30,9058
bus,20160808,on,01:00,178
bus,20160808,on,15:00,28496
bus,20160808,on,16:00,19766
bus,20160808,on,23:15,765
bus,20160808,on,12:15,10810
bus,20160808,on,21:00,3702
bus,20160808,on,04:30,340
bus,20160808,on,05:30,2767
bus,20160808,on,03:15,86
bus,20160808,on,14:30,15635
bus,20160808,on,18:15,16860
bus,20160808,on,06:45,11430
bus,20160808,on,19:00,9122
bus,20160808,on,12:00,10900
bus,20160808,on,09:45,10821
bus,20160808,on,23:00,1023
bus,20160808,on,00:45,169
bus,20160808,on,04:00,132
bus,20160808,on,17:30,21526
bus,20160808,on,10:15,10836
bus,20160808,on,08:30,27555
bus,20160808,on,03:00,122
bus,20160808,on,21:30,2542
bus,20160808,on,15:45,20235
bus,20160808,on,18:00,19519
bus,20160808,on,20:30,3559
bus,20160808,on,19:15,6845
